Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2020-12-16,26.0,30.010000228881836,22.610000610351562,29.469999313354492,29.469999313354492,13459800,UPST,,False,,False,,False,,29.0,True,29.0,True,29.0,True,29.0,True,29.0,True,0.0,0.0,0.0,
2020-12-17,28.64299964904785,39.849998474121094,28.25,35.77000045776367,35.77000045776367,7042200,UPST,,False,,False,,False,,32.0,True,31.0,True,30.0,True,30.0,True,30.0,True,0.5025641938559993,0.10051283877119986,0.4020513550847994,
2020-12-18,38.02000045776367,48.65999984741211,37.060001373291016,44.09000015258789,44.09000015258789,7266500,UPST,,False,,False,,False,,36.0,True,33.0,True,31.0,True,30.0,True,30.0,True,1.5542875214629923,0.3912677753095584,1.163019746153434,
2020-12-21,44.0,47.9900016784668,40.0,41.099998474121094,41.099998474121094,2833800,UPST,,False,,False,,False,,38.0,True,35.0,True,32.0,True,31.0,True,30.0,True,2.1220559488390656,0.7374254100154598,1.3846305388236058,
2020-12-22,43.099998474121094,48.08000183105469,40.650001525878906,47.84000015258789,47.84000015258789,3727400,UPST,,False,,False,,False,,41.0,True,37.0,True,34.0,True,31.0,True,30.0,True,3.080369740093012,1.2060142760309702,1.8743554640620417,
2020-12-23,47.5,51.39799880981445,43.02000045776367,46.31999969482422,46.31999969482422,3142400,UPST,,False,,False,,False,,43.0,True,39.0,True,35.0,True,32.0,True,30.0,True,3.674827862078992,1.6997769932405746,1.9750508688384172,
2020-12-24,46.59000015258789,47.470001220703125,42.505001068115234,43.959999084472656,43.959999084472656,873100,UPST,,False,,False,,False,,43.0,True,40.0,True,36.0,True,32.0,True,30.0,True,3.9104308677997537,2.141907768152411,1.7685230996473429,
2020-12-28,44.310001373291016,45.0,38.04999923706055,42.630001068115234,42.630001068115234,1882200,UPST,,False,,False,,False,,43.0,False,40.0,True,36.0,True,33.0,True,30.0,True,3.944360094705729,2.5023982334630746,1.4419618612426546,
2020-12-29,42.040000915527344,42.4900016784668,39.5099983215332,40.75,40.75,646400,UPST,,False,,False,,False,,42.0,False,40.0,True,37.0,True,33.0,True,30.0,True,3.7760212545721004,2.7571228376848795,1.0188984168872208,
2020-12-30,41.20000076293945,41.5,38.11000061035156,38.869998931884766,38.869998931884766,1049500,UPST,,False,,False,,False,,41.0,False,40.0,False,37.0,True,33.0,True,31.0,True,3.4511286734830335,2.8959240048445105,0.555204668638523,
